price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_above,sqft_basement,state
193041,1,4.0,3634,23753,1.0,0,0,3,10,1923,1935.0,70797,45.527547144710525,-120.40708180751359,3634,0,NV
63317,5,2.0,521,7424,3.0,0,0,5,11,2017,2018.0,93137,39.097963931024005,-72.52893814636471,521,0,AZ
213797,3,3.5,868,8388,3.0,0,1,5,12,1933,2013.0,60637,46.33821755797504,-77.5981076189592,868,0,IN
172889,2,4.0,1729,-3245,2.0,0,3,2,12,2002,0.0,15349,47.5078529678172,-106.08823333152822,1729,0,LA
145694,3,3.5,2892,16757,3.0,0,4,4,3,1960,0.0,49963,26.28708136891478,-68.50898654527666,2892,0,NE
50000,4,1.5,172,14558,2.5,0,3,1,12,1940,0.0,85583,37.02326324461284,-107.58754835422934,93,78,GA
50000,5,3.5,1945,1333,1.5,0,0,1,2,1904,0.0,17750,33.9991491777887,-73.30963074179155,1945,0,WI
335158,5,3.5,1525,-324,1.5,0,4,5,5,1978,0.0,32463,40.02060152968281,-73.7973311067712,1525,0,IA
50000,5,2.5,3325,253,1.0,0,2,5,1,1949,0.0,84935,44.04618873285577,-80.81351585363058,2531,794,ME
50000,3,3.0,323,13225,3.0,0,4,2,3,1903,0.0,68792,31.734165183384853,-91.88218299266745,323,0,FL
194313,4,4.0,2092,13724,1.0,0,3,4,1,1950,0.0,23686,38.363161224956116,-117.15984327183737,2092,0,AR
148764,2,2.5,1606,5383,1.5,0,1,2,13,1951,0.0,73528,42.00948591771759,-93.6776111336996,958,648,IA
328536,2,1.5,3469,12496,1.5,0,2,4,3,2021,2022.0,32787,28.226345988057616,-103.66261342766873,3469,0,WV
241365,3,4.5,2597,10794,3.0,0,3,1,13,1938,0.0,24776,44.53760574283041,-78.84362911014495,2597,0,DE
162445,5,1.0,1414,8163,2.5,0,2,2,4,2021,0.0,67427,39.54663039647136,-80.78663522967983,1414,0,WI
50000,1,3.5,2853,14850,2.5,0,4,5,7,1907,0.0,71086,47.78889849072765,-72.0950870797615,2853,0,AL
136308,3,4.0,1611,3975,3.0,0,0,2,12,2012,0.0,73308,33.14869405913664,-123.15468074139265,844,766,CT
202044,3,4.5,2999,15737,3.0,0,3,2,12,1944,0.0,25797,27.595502616092766,-77.88111664108638,2999,0,NM
289635,4,1.0,1762,6357,1.0,0,1,1,5,1987,0.0,15302,37.15602882488621,-70.50766297189388,1125,637,LA
612389,2,4.5,3054,18907,3.0,0,4,5,5,2016,0.0,73172,27.05945852102653,-79.00987440083544,3054,0,ID
50000,3,4.0,2436,4973,2.5,0,3,5,13,1927,1928.0,48059,48.26863655977616,-116.57891578738909,2436,0,WV
1330904,3,4.5,5260,8242,3.0,0,1,3,1,2018,0.0,10908,25.928438998172595,-119.3670910240694,4454,806,NJ
256438,5,3.0,1947,10292,1.0,0,3,3,8,2006,0.0,70252,43.084093626575395,-122.81182133096105,1947,0,NC
92515,5,1.0,2382,10261,1.0,0,4,3,13,1926,0.0,90659,37.60245755541386,-88.16152212779996,1244,1138,WA
198816,1,4.0,1520,12454,1.0,0,3,1,4,1964,1974.0,22877,33.84689565995893,-88.10865884398643,815,704,CT
242084,4,2.0,2002,3571,1.0,0,2,2,10,1933,0.0,24239,26.58021194820771,-67.7459182895619,2002,0,NV
50000,1,2.0,-701,9813,2.0,1,4,5,5,1980,1980.0,96971,39.93200618016658,-101.31153907606654,-701,0,WI
156589,5,2.0,2465,10690,3.0,0,3,5,2,2000,0.0,37313,39.04528790538293,-105.08134176084269,2465,0,AZ
208791,2,2.0,3342,7361,1.5,0,0,2,12,1961,0.0,52103,31.741198553622393,-88.40777915048963,1752,1590,TX
475083,5,3.5,2396,12020,3.0,0,3,5,13,1961,2000.0,58408,46.845320833847495,-76.94030566706715,1285,1110,CO
123565,4,4.5,686,3268,2.0,0,2,2,1,1937,1969.0,93251,32.29864017622808,-70.6038848771889,513,172,NM
61773,5,1.5,1198,8367,1.0,0,1,1,9,1925,0.0,98771,35.79340985421055,-78.2219225277948,875,322,PA
50000,4,4.5,-430,6234,2.0,0,1,1,2,2020,0.0,20534,38.05029894204773,-99.67958310489914,-430,0,IA
59389,4,3.5,2978,8382,2.5,0,1,1,6,1923,0.0,53060,27.405565076230864,-87.80988858721234,2098,880,CT
50000,4,2.0,993,17235,2.5,1,0,2,1,1938,0.0,27189,47.37188126112717,-75.19093837718134,725,268,TX
210286,4,3.0,1971,17332,3.0,0,2,2,1,1920,1973.0,96067,33.98886765882499,-96.03524776623085,1663,308,NJ
678002,4,4.0,1846,16352,3.0,0,4,4,9,1993,0.0,20967,26.938701132984246,-111.64886130879262,1846,0,NE
209317,2,1.0,3487,7688,1.5,0,1,5,4,1946,0.0,91991,34.29498816820792,-114.32576393437124,3487,0,KY
435479,1,3.0,2085,14538,1.5,0,2,5,9,2014,0.0,75563,39.40486113022194,-123.99100855905077,2085,0,LA
226280,3,1.5,2808,10561,2.5,0,3,4,11,1947,2022.0,18660,37.32766412371191,-83.0604342860668,2808,0,MI
212789,1,3.5,2546,10227,1.0,0,0,4,5,2020,2022.0,49823,41.66900737689458,-117.66745909577854,1338,1208,MT
193825,4,1.5,3359,9613,2.0,0,2,1,7,1912,0.0,65842,26.331614609629856,-110.10117131733139,3359,0,NE
285630,2,1.5,1760,18792,1.5,0,2,4,1,2000,0.0,19616,31.828974646529346,-107.02104910320078,1760,0,SC
140818,5,2.0,3869,16829,1.5,0,4,2,6,1902,0.0,85976,44.661533844162456,-92.0583479722042,2439,1430,MS
50000,2,1.0,14,13724,1.0,0,2,3,8,1931,2000.0,58738,26.91744850699266,-101.31643519414115,14,0,DE
50000,4,2.0,2857,9148,1.0,0,4,2,1,1934,0.0,23107,45.531662912702984,-85.54358245467978,2857,0,MA
122992,2,4.5,1133,10197,3.0,0,0,4,9,1918,0.0,71404,27.20550620985055,-120.82859641826394,1133,0,NH
127495,2,4.0,1507,12652,2.0,0,0,5,3,1913,0.0,25954,45.02690115740071,-116.93546592692695,1507,0,TX
374597,4,2.5,2569,7391,1.0,1,3,2,1,1947,0.0,26943,33.65892162588944,-95.5449442986038,2569,0,MA
330027,2,2.0,2561,14691,1.5,0,4,5,1,1985,0.0,50725,39.69301751817318,-104.7930070927307,1731,829,AZ
50000,3,3.0,2606,5393,1.5,0,4,2,13,1980,0.0,55434,28.669290775551957,-107.1386383231725,2606,0,NM
115689,3,3.5,613,11959,2.5,0,1,5,11,2022,0.0,95751,26.58804932140434,-120.1793994948612,613,0,NE
372944,2,3.0,3449,-1448,1.0,0,1,2,6,1967,0.0,20110,30.182516896483243,-72.94400703936392,2037,1411,VA
316708,5,4.0,1099,7246,3.0,0,3,5,11,1944,0.0,97091,28.068491629808694,-84.5663405908721,1099,0,NE
113045,4,3.5,1232,20388,2.0,0,0,3,6,2003,0.0,26462,32.49774154431116,-117.06776506127999,1232,0,FL
58903,3,1.0,2637,15180,3.0,0,1,1,1,1918,0.0,89232,37.34519791626448,-120.29238040898298,2637,0,NC
125455,5,1.5,1713,17677,1.5,0,2,2,3,1963,0.0,64081,39.130227125560225,-68.43226559441915,1713,0,NC
426733,2,3.0,2308,6663,3.0,0,0,3,7,2000,0.0,62799,43.95683457711383,-85.17316462494821,2053,254,MT
50000,5,1.0,-156,10518,1.5,0,2,1,10,1965,1981.0,76567,40.74975743796061,-100.20500394765673,-156,0,NV
165527,1,4.0,2284,16409,1.5,0,4,2,3,1978,0.0,99301,39.61019980310927,-84.00133067692026,1487,797,UT
205142,3,1.0,2217,13165,1.5,0,0,3,3,1965,2015.0,61224,34.882768659658595,-80.88908817063094,2217,0,TX
208302,2,4.0,1490,12542,1.5,0,3,3,3,1974,0.0,66063,36.37140243904333,-79.54215446383958,1490,0,NM
50000,4,2.0,-74,18152,1.5,0,4,3,12,1944,0.0,65240,34.94849990536434,-96.76099357777571,-74,0,AL
93905,2,2.0,1787,4797,2.5,0,4,4,7,1986,0.0,91352,45.21198472147319,-99.49668278688367,1198,588,MD
223647,4,2.0,1962,9078,3.0,0,2,5,4,1973,0.0,27868,30.520010861161595,-123.37139919667268,1142,819,ID
91890,2,2.5,1632,1229,2.5,0,4,1,4,1966,0.0,85973,25.13730235700715,-71.18624443691523,971,661,KY
50000,5,1.5,163,4524,2.5,0,1,5,3,1968,2009.0,90989,40.631677533429745,-89.61145093183025,163,0,IA
352796,5,3.0,3594,15370,1.0,0,0,5,10,1902,0.0,32222,29.859092407331953,-112.42022558017182,3594,0,ND
130810,5,1.0,1361,5413,1.0,0,1,5,11,1937,0.0,89794,46.362763271435426,-71.58260509297811,1361,0,WY
175406,1,4.5,1777,13677,1.0,0,2,3,9,1976,0.0,73924,45.61711191295974,-71.8488815990931,984,793,KS
50000,4,1.0,-409,18292,2.0,0,2,5,2,1941,0.0,88513,26.84145692627694,-67.61650263113253,-409,0,AR
58840,5,1.0,3594,9110,1.0,0,0,4,4,1982,0.0,64649,27.553321729937856,-74.17877590107821,1955,1639,DE
96283,1,4.5,1533,12599,3.0,1,4,2,8,1939,0.0,93749,36.88411821391999,-67.1262898942563,1533,0,ND
173930,4,2.0,2098,13716,2.5,0,3,3,6,1949,0.0,20223,39.62134390646451,-110.05288727697346,1138,960,VA
72405,2,2.0,3120,3892,3.0,0,2,1,7,1934,0.0,58166,31.597800099573778,-75.99177364364365,3120,0,MO
70655,1,2.5,1323,6917,1.0,0,0,2,13,1923,0.0,49369,42.203145200784896,-77.08738639864143,1323,0,IA
393276,3,3.0,2963,4981,2.0,0,3,2,7,1987,0.0,96379,39.27798450205292,-110.83639952441817,2963,0,NV
50000,1,4.0,-61,7316,2.0,0,4,2,2,1916,0.0,79392,32.79577863396531,-118.38905970694353,-51,-9,FL
315248,1,4.5,2550,13580,2.5,0,2,5,4,1939,0.0,69526,25.608915713015573,-68.17303072037683,2550,0,AK
373382,4,1.0,3572,7024,3.0,0,0,5,10,1973,1993.0,22661,43.003606751164426,-107.12660056332521,3572,0,KY
141701,2,3.5,1419,9824,1.5,0,0,3,10,1965,0.0,25591,30.154087979801986,-74.35916794333505,1419,0,GA
50000,3,2.0,3118,4787,3.0,0,0,5,6,1943,2020.0,81718,45.02736984310308,-123.76475218354757,1652,1466,FL
426425,5,3.0,3833,16132,1.0,0,2,5,3,1922,0.0,65235,35.08696624130212,-122.80158598848267,3134,699,NM
185370,5,4.5,1745,7274,1.5,0,3,5,9,1905,2022.0,17970,38.84985862316237,-97.445335404307,1745,0,AK
307386,1,4.5,1662,17614,2.0,0,0,3,13,1965,0.0,57922,45.95076952981604,-110.39326301570138,916,745,MS
63369,4,1.0,1101,10304,2.5,0,4,3,4,1920,0.0,40755,45.726952022078876,-84.67904684415004,702,399,ME
277773,4,1.5,1490,2965,2.5,0,0,4,10,2018,0.0,29416,33.91646980584576,-91.7628334426266,1151,339,KY
290093,5,4.5,1184,9144,2.0,0,3,4,13,2019,0.0,23672,30.013333425156233,-119.58330954532198,1184,0,TX
50000,3,2.0,1100,4686,1.0,1,2,4,2,1934,0.0,93468,43.60350586548627,-114.73018711000412,956,144,WI
769626,2,2.0,3198,12946,2.0,0,0,4,6,2012,0.0,56996,35.393924886451146,-101.88119160667038,2578,619,GA
161056,3,3.0,1210,8693,1.0,1,0,2,1,1928,2022.0,84095,29.609007845416098,-113.42056835454031,1210,0,WY
166206,2,4.5,2258,10816,1.5,0,4,2,6,1906,1956.0,10064,46.7062082156116,-78.84332620709607,1612,645,NV
170837,5,4.5,2038,8153,2.0,0,4,4,13,1992,2014.0,78835,29.754500661786096,-100.28399657346304,2038,0,PA
335327,2,2.5,3498,7223,1.0,0,0,4,12,1952,1957.0,80385,25.619372036589546,-118.67438358997754,3498,0,WV
50000,4,2.5,1496,5131,1.5,0,0,1,10,1936,0.0,15639,25.48671937041808,-96.39245457048888,923,573,NV
181512,1,4.0,2381,14181,2.0,0,4,2,1,1922,0.0,21055,39.935568554902346,-118.82222367949939,2381,0,WY
373554,1,1.5,2791,9134,2.5,0,3,1,8,1996,0.0,69220,40.88020145722073,-116.65057359107043,2243,547,WY
109727,5,4.0,3489,8426,2.0,0,1,1,5,1907,0.0,97594,32.46500092136761,-110.3422395743923,3489,0,AL
139983,4,4.5,1482,9008,3.0,0,1,5,6,1975,1994.0,39427,32.68026374192952,-75.00692080089308,1482,0,AZ
156070,3,2.0,1382,6605,2.0,0,0,3,2,2009,0.0,92516,33.14785396143863,-71.2970856570206,1382,0,IA
50000,4,2.0,938,8443,3.0,0,4,2,2,1947,2000.0,74666,41.32380512221309,-76.90330942807206,555,382,GA
50000,1,1.0,4236,11028,1.5,0,2,4,12,1909,0.0,74274,26.395210984643885,-104.9575986071827,4236,0,MA
256635,1,1.5,3384,4829,2.0,0,2,4,9,1978,0.0,20866,47.29879246459181,-108.4705528567966,3384,0,OR
115902,4,3.0,1957,5553,1.5,0,1,3,3,2016,0.0,13889,30.340505060258714,-92.69812562495636,1106,851,IA
513682,4,4.0,3931,16891,1.5,0,3,2,6,1923,0.0,58226,48.992156925810214,-82.8543698496126,3931,0,MN
97819,1,2.5,1898,8186,1.0,0,1,4,10,1989,2003.0,41335,29.116544650892486,-67.37775107487003,1898,0,IN
442671,3,1.0,2724,7242,1.5,0,0,4,5,1946,0.0,60547,43.51711497549706,-116.5004694229012,2724,0,IA
186093,5,3.5,2010,3280,1.5,0,3,5,12,2005,0.0,36162,30.361901078311,-121.19035605564315,2010,0,GA
182784,5,3.5,2397,14253,2.0,0,2,1,4,1952,0.0,99449,26.940323239438094,-84.42171432726956,1231,1166,FL
250820,4,2.0,2291,4720,2.0,0,4,4,10,1938,0.0,34687,45.99839978441557,-76.56313034027738,2291,0,UT
65251,5,2.0,1575,9923,2.5,0,4,2,2,2021,2022.0,20995,45.61003022058141,-75.75811954761389,1575,0,RI
516858,1,3.5,3092,1459,1.0,1,0,3,8,1966,0.0,66488,34.68568941879043,-85.32757770260184,3092,0,CA
358908,1,1.0,2715,14090,1.5,0,1,5,10,1965,0.0,12631,41.857507420970244,-69.62109916520635,2715,0,MO
50000,4,3.5,3027,15884,1.0,0,0,2,7,1905,0.0,44954,38.36958238441401,-94.87272847795855,3027,0,TN
254485,4,4.5,2320,12422,3.0,0,4,5,11,1920,0.0,15967,45.47094672816997,-71.91255649483588,2320,0,MT
187414,4,4.5,1093,2327,1.5,0,2,1,2,1972,0.0,98294,32.56134326364771,-68.83470819148319,904,189,DE
630961,3,2.0,3709,14193,1.0,0,4,4,6,1973,0.0,97278,37.56813759997564,-75.71202495082287,3709,0,MI
50000,5,1.5,1737,5863,2.5,0,3,2,8,1935,0.0,74471,36.64893690890921,-106.34376189425862,1737,0,MO
50000,4,1.0,2364,4145,2.5,0,4,3,7,2022,0.0,47116,33.493739830164614,-112.81570788329317,2071,292,WV
202038,2,4.0,2635,8082,1.5,0,4,1,1,1902,0.0,44227,46.39492154935293,-92.75715629603636,2174,461,ID
302831,2,3.0,2357,7983,3.0,0,3,1,5,2004,0.0,11942,28.98107019190085,-98.17815922832926,1351,1005,FL
388887,1,2.0,2915,7474,2.5,0,1,5,2,1987,0.0,57664,28.58820734849671,-73.96777449501423,2915,0,GA
310583,5,3.5,3073,16368,2.5,0,4,1,6,1985,0.0,38069,38.845828847746034,-118.29819474917224,3073,0,WV
156496,4,3.0,1775,20059,3.0,0,0,2,7,2012,2022.0,97342,40.77986151963861,-109.30881650524344,1775,0,GA
565999,2,3.5,3625,3154,1.0,0,4,5,7,1977,0.0,24407,29.670862103789563,-81.14746016243362,3625,0,FL
140517,5,1.5,1733,6555,2.5,0,0,1,3,1941,2019.0,69201,34.37721861411098,-118.58576123629321,1448,285,MT
125801,1,4.0,2336,10713,2.0,0,3,3,7,1944,0.0,90093,47.71753223148985,-105.71642840076309,1449,887,OH
271268,3,1.5,1612,8056,2.5,0,4,2,5,1943,0.0,64348,30.918818144576175,-101.93214253892296,1612,0,NE
304377,5,4.5,1326,11996,1.0,0,3,3,8,1990,1996.0,91981,41.040656850817456,-88.51215359592666,1326,0,NM
91767,5,2.0,3044,14579,1.0,1,3,3,12,1932,0.0,27878,42.76358544874218,-114.98643919399622,3044,0,ME
774067,3,2.5,5121,13746,1.5,0,1,5,8,1959,0.0,93100,35.75508878716383,-74.94554405006656,4178,943,TX
129383,5,3.5,1638,13048,2.0,0,4,4,7,1985,0.0,88629,47.50062368222999,-98.49009257842236,1638,0,PA
698408,1,4.5,3215,18295,1.0,0,0,5,6,1992,0.0,65420,42.67976164525097,-71.72976242280828,3215,0,CO
316648,1,4.5,1674,2055,3.0,1,0,2,2,1982,0.0,53168,35.99018991666155,-97.3314149228659,1674,0,IA
127355,3,4.0,1989,17400,2.0,0,4,2,6,1982,0.0,64862,38.664044842626254,-108.3227052403782,1526,462,NH
705986,4,3.5,3757,7935,2.0,0,1,5,13,1969,0.0,99622,41.62272264220242,-115.91575676480254,2023,1734,WA
183422,2,3.5,926,13925,3.0,0,1,4,12,2008,2020.0,92025,39.212564330301234,-123.78652960145676,926,0,VT
194685,4,2.5,661,4851,2.5,0,1,5,11,1982,0.0,38004,46.08874201182582,-93.66702335586437,661,0,CA
412067,5,1.5,1912,5457,3.0,0,0,2,9,1976,0.0,30471,33.56532789472963,-117.89206827516537,1912,0,IN
414436,2,4.0,2663,13310,3.0,0,3,4,2,2022,2022.0,70167,32.197257761339316,-101.67151747302285,2663,0,AK
92957,3,4.5,2463,356,2.5,0,1,2,1,1925,0.0,93828,30.132133347886345,-90.41150960948606,2463,0,MN
91610,3,1.0,2360,14947,2.5,0,0,4,11,1985,0.0,75308,25.906791233550283,-108.28590387654609,2360,0,UT
83695,2,4.5,2034,16299,2.5,0,0,4,13,1920,0.0,93969,26.03233514512133,-114.01221533513143,2034,0,VA
287876,1,3.0,2786,10888,2.5,0,3,5,5,1999,2003.0,24568,45.881324634622786,-79.84086751126753,2786,0,ME
50000,2,3.0,-913,10708,2.5,0,4,5,11,2019,2019.0,19466,41.281435513741776,-70.03290317994762,-747,-166,MS
159415,5,4.0,1249,5831,3.0,0,4,5,6,1901,0.0,67324,40.85277797047567,-118.27489618186794,1249,0,MD
255367,1,3.0,1906,13372,1.5,0,1,4,3,1946,0.0,25467,39.751427654437265,-115.13135151005456,1005,900,WA
465716,3,3.0,2704,11738,1.5,0,1,4,8,2007,0.0,85955,45.38125947265851,-69.27927853659503,2704,0,NE
422865,2,4.5,3489,5392,1.0,0,3,2,7,1929,0.0,62948,36.52640621597506,-121.84629935670196,1796,1693,MS
69524,4,2.5,1114,8042,1.5,0,1,3,2,1926,1969.0,26676,45.889859885399204,-68.27495681662307,771,343,KY
937908,4,1.5,3457,9203,1.5,0,3,5,12,1970,0.0,41514,33.62668062837374,-123.73526446415563,3457,0,MO
151181,5,3.0,1547,8035,3.0,0,0,2,7,1919,0.0,32650,47.240980104138174,-74.20088662787411,1547,0,VA
91922,4,2.5,1870,3185,2.5,0,1,2,1,1949,0.0,98290,41.767767521949764,-106.48246468369828,1870,0,NM
96275,2,3.0,2581,13495,2.5,0,0,1,9,1994,1994.0,87701,31.172251264586254,-70.5004350838941,2581,0,NV
159260,2,3.0,1796,8782,3.0,0,2,5,13,1922,1970.0,20683,38.538038120527006,-105.93411854777163,1796,0,WY
139129,4,1.5,3110,10076,1.5,0,3,2,7,1912,0.0,69819,37.79273347571814,-86.70453967255881,3110,0,NV
217532,2,3.5,1595,7108,3.0,0,2,1,6,1980,0.0,90978,28.309571721528016,-119.43814352334161,1595,0,MI
191955,5,1.0,1610,12376,1.0,0,1,5,13,1903,0.0,14860,39.18982973801474,-110.18720074713687,1418,191,CA
316240,1,1.0,3051,10993,2.5,0,0,4,2,2020,0.0,13729,32.55485496920699,-79.9002772506827,2065,986,UT
50000,5,1.5,1236,16063,2.0,0,1,1,3,1913,1960.0,41351,26.25637040343046,-93.86490634030727,1236,0,TN
50000,5,2.5,2248,12402,1.0,0,2,4,1,1919,1949.0,72744,47.76774778495756,-71.10576347813844,2248,0,DE
50000,2,4.5,339,8986,1.0,0,1,3,10,1912,0.0,34346,40.395768857542905,-99.56116972454281,339,0,PA
280517,1,2.5,3819,6301,3.0,0,4,3,13,1902,1939.0,84155,46.04605436490033,-74.42069514860638,3819,0,NV
696047,2,4.0,3206,14329,1.5,1,2,3,5,1989,0.0,86700,41.22534412031808,-98.40954006374047,3206,0,WA
207003,3,4.5,4750,8587,2.5,0,1,3,9,1989,0.0,16955,33.567608611362715,-68.18284811398684,2532,2217,ID
239300,2,1.5,3338,9141,2.0,0,0,2,13,1981,0.0,75642,37.304513735891476,-69.28944026026403,1737,1600,MO
116532,2,3.5,870,9140,1.0,0,1,3,6,1995,0.0,80290,41.21792224833225,-105.23920778330341,870,0,PA
87781,2,1.0,2668,7991,2.0,0,0,2,5,1977,0.0,54293,48.0460558048345,-73.50235078624222,1378,1290,UT
78041,1,3.0,1081,9227,1.5,0,4,2,12,1946,0.0,71336,31.088067018920714,-75.686151669708,605,476,IA
271168,2,4.0,3578,19631,1.5,0,1,5,3,1902,0.0,31662,45.999449406978826,-111.99121735232892,3052,525,UT
50000,1,1.0,898,4760,2.0,0,4,2,5,1900,0.0,16408,47.177867327062465,-88.41544715535363,479,419,SD
117201,4,3.5,850,5927,2.5,0,2,2,8,1989,0.0,50403,41.08997235181496,-119.85710801138055,850,0,ND
50000,3,2.0,390,16921,1.5,0,0,3,12,1923,0.0,11225,47.3503990576321,-76.30748892674268,390,0,VT
243054,1,3.5,1511,8125,2.0,0,2,2,2,2012,0.0,22196,34.549086099456844,-114.0508846403007,1511,0,IL
195780,4,1.5,1310,7746,1.0,0,0,4,5,1934,0.0,79786,47.87238822497063,-119.96356202101143,1310,0,DE
50000,1,2.5,738,15174,2.0,0,4,3,6,1913,0.0,25372,41.866789051983396,-101.18751155428777,471,266,IL
106668,1,3.5,3989,2899,2.0,0,3,1,10,1966,0.0,27279,26.008138418051487,-91.11543809982032,3989,0,OK
185419,3,3.0,2529,14107,3.0,0,1,3,8,1912,1946.0,64240,46.764947963657264,-75.26973336209305,2529,0,CO
358083,5,3.0,2412,10228,1.5,0,4,2,8,1946,0.0,48187,36.627347416796624,-68.46817604526102,2412,0,PA
863737,5,3.0,3589,12324,2.5,0,0,4,5,1949,0.0,58481,36.04784763466799,-98.94892678351778,2369,1219,NY
897481,1,3.5,2256,12230,2.5,0,0,3,9,1977,0.0,38475,38.59519854351122,-120.5545253898396,1849,406,MA
211561,2,2.5,1251,6860,3.0,0,0,4,4,1984,2007.0,54552,28.58522912250947,-81.30041199552537,707,544,UT
50909,4,4.5,299,15255,2.5,0,0,1,12,1925,0.0,77969,36.259985165617564,-91.78512439523556,299,0,UT
80814,2,2.5,1194,7249,2.0,0,1,1,9,1902,0.0,86534,44.9470532012259,-98.4701933438656,1194,0,WI
461106,2,2.5,3505,12044,3.0,0,2,5,11,1950,1950.0,16858,25.37157901930037,-106.3716739088452,3046,459,CT
50000,1,2.0,744,16188,1.0,0,3,5,7,1939,0.0,84486,31.550011847784912,-95.36328391291846,562,182,MT
364525,1,4.5,2353,16894,1.5,0,1,3,6,1967,0.0,84474,25.05891007465226,-104.69526254594923,2353,0,IA
90696,1,1.0,3033,8664,1.5,0,0,5,4,1935,0.0,35168,34.977071419596356,-80.85032353840046,3033,0,WI
176558,1,4.5,2285,12315,1.5,0,1,4,2,1950,0.0,42099,42.47957225184963,-92.99805929991946,2285,0,TN
248932,5,2.5,2398,8202,2.0,0,4,5,8,2006,2008.0,81180,44.170523898751085,-74.01967687321562,2398,0,MN
124489,1,3.0,2655,22518,1.0,0,0,4,6,1900,0.0,71455,47.684554267048156,-93.0179968649818,2655,0,PA
930885,5,3.0,2379,13900,3.0,0,3,5,12,2003,0.0,64240,39.60411071129887,-110.419042439624,2379,0,SD
50000,5,2.5,3609,10420,3.0,0,0,5,3,2010,0.0,84796,31.111044799669493,-75.48776271276776,3609,0,IA
