title,category,category_code,summary,summary_word_count
Object Classification using Ensemble of Local and Deep Features,Computer Vision and Pattern Recognition,cs.CV,"In this paper we propose an ensemble of local and deep features for object
classification. We also compare and contrast effectiveness of feature
representation capability of various layers of convolutional neural network. We
demonstrate with extensive experiments for object classification that the
representation capability of features from deep networks can be complemented
with information captured from local features. We also find out that features
from various deep convolutional networks encode distinctive characteristic
information. We establish that, as opposed to conventional practice,
intermediate layers of deep networks can augment the classification
capabilities of features obtained from fully connected layers.",98
"Adaptive Model Learning of Neural Networks with UUB Stability for Robot
  Dynamic Estimation",Robotics,cs.RO,"Since batch algorithms suffer from lack of proficiency in confronting model
mismatches and disturbances, this contribution proposes an adaptive scheme
based on continuous Lyapunov function for online robot dynamic identification.
This paper suggests stable updating rules to drive neural networks inspiring
from model reference adaptive paradigm. Network structure consists of three
parallel self-driving neural networks which aim to estimate robot dynamic terms
individually. Lyapunov candidate is selected to construct energy surface for a
convex optimization framework. Learning rules are driven directly from Lyapunov
functions to make the derivative negative. Finally, experimental results on
3-DOF Phantom Omni Haptic device demonstrate efficiency of the proposed method.",104
Domain segmentation and adjustment for generalized zero-shot learning,Computer Vision and Pattern Recognition,cs.CV,"In the generalized zero-shot learning, synthesizing unseen data with
generative models has been the most popular method to address the imbalance of
training data between seen and unseen classes. However, this method requires
that the unseen semantic information is available during the training stage,
and training generative models is not trivial. Given that the generator of
these models can only be trained with seen classes, we argue that synthesizing
unseen data may not be an ideal approach for addressing the domain shift caused
by the imbalance of the training data. In this paper, we propose to realize the
generalized zero-shot recognition in different domains. Thus, unseen (seen)
classes can avoid the effect of the seen (unseen) classes. In practice, we
propose a threshold and probabilistic distribution joint method to segment the
testing instances into seen, unseen and uncertain domains. Moreover, the
uncertain domain is further adjusted to alleviate the domain shift. Extensive
experiments on five benchmark datasets show that the proposed method exhibits
competitive performance compared with that based on generative models.",172
"Oriented Object Detection in Optical Remote Sensing Images using Deep
  Learning: A Survey",Computer Vision and Pattern Recognition,cs.CV,"Oriented object detection is one of the most fundamental and challenging
tasks in remote sensing, aiming to locate and classify objects with arbitrary
orientations. Recent years have witnessed remarkable progress in oriented
object detection using deep learning techniques. Given the rapid development of
this field, this paper aims to provide a comprehensive survey of recent
advances in oriented object detection. To be specific, we first review the
technical evolution from horizontal object detection to oriented object
detection and summarize the specific challenges, including feature
misalignment, spatial misalignment, and periodicity of angle. Subsequently, we
further categorize existing methods into detection framework, oriented bounding
box (OBB) regression, and feature representations, and discuss how these
methods address the above challenges in detail. In addition, we cover several
publicly available datasets and performance evaluation protocols. Furthermore,
we provide a comprehensive comparison and analysis of state-of-the-art oriented
object detection methods. Toward the end of this paper, we discuss several
future directions for oriented object detection.",160
"Automatic Nonrigid Histological Image Registration with Adaptive
  Multistep Algorithm",Computer Vision and Pattern Recognition,cs.CV,"In this paper, we present a short description of the method proposed to ANHIR
challenge organized jointly with the IEEE ISBI 2019 conference. We propose a
method consisting of preprocessing, initial alignment, nonrigid registration
algorithms and a method to automatically choose the best result. The method
turned out to be robust (99.792% robustness) and accurate (0.38% average median
rTRE). The main drawback of the proposed method is relatively high computation
time. However, this aspect can be easily improved by cleaning the code and
proposing a GPU implementation.",87
"Transaction Confirmation Time Prediction in Ethereum Blockchain Using
  Machine Learning",Cryptography and Security,cs.CR,"Blockchain offers a decentralized, immutable, transparent system of records.
It offers a peer-to-peer network of nodes with no centralised governing entity
making it unhackable and therefore, more secure than the traditional
paper-based or centralised system of records like banks etc. While there are
certain advantages to the paper-based recording approach, it does not work well
with digital relationships where the data is in constant flux. Unlike
traditional channels, governed by centralized entities, blockchain offers its
users a certain level of anonymity by providing capabilities to interact
without disclosing their personal identities and allows them to build trust
without a third-party governing entity. Due to the aforementioned
characteristics of blockchain, more and more users around the globe are
inclined towards making a digital transaction via blockchain than via
rudimentary channels. Therefore, there is a dire need for us to gain insight on
how these transactions are processed by the blockchain and how much time it may
take for a peer to confirm a transaction and add it to the blockchain network.
This paper presents a novel approach that would allow one to estimate the time,
in block time or otherwise, it would take for a mining node to accept and
confirm a transaction to a block using machine learning. The paper also aims to
compare the predictive accuracy of two machine learning regression models-
Random Forest Regressor and Multilayer Perceptron against previously proposed
statistical regression model under a set evaluation criterion. The objective is
to determine whether machine learning offers a more accurate predictive model
than conventional statistical models. The proposed model results in improved
accuracy in prediction.",267
Monitoring and Diagnosability of Perception Systems,Robotics,cs.RO,"Perception is a critical component of high-integrity applications of robotics
and autonomous systems, such as self-driving cars. In these applications,
failure of perception systems may put human life at risk, and a broad adoption
of these technologies relies on the development of methodologies to guarantee
and monitor safe operation as well as detect and mitigate failures. Despite the
paramount importance of perception systems, currently there is no formal
approach for system-level monitoring. In this work, we propose a mathematical
model for runtime monitoring and fault detection of perception systems. Towards
this goal, we draw connections with the literature on self-diagnosability for
multiprocessor systems, and generalize it to (i) account for modules with
heterogeneous outputs, and (ii) add a temporal dimension to the problem, which
is crucial to model realistic perception systems where modules interact over
time. This contribution results in a graph-theoretic approach that, given a
perception system, is able to detect faults at runtime and allows computing an
upper-bound on the number of faulty modules that can be detected. Our second
contribution is to show that the proposed monitoring approach can be elegantly
described with the language of topos theory, which allows formulating
diagnosability over arbitrary time intervals.",199
Learning to Linearize Under Uncertainty,Computer Vision and Pattern Recognition,cs.CV,"Training deep feature hierarchies to solve supervised learning tasks has
achieved state of the art performance on many problems in computer vision.
However, a principled way in which to train such hierarchies in the
unsupervised setting has remained elusive. In this work we suggest a new
architecture and loss for training deep feature hierarchies that linearize the
transformations observed in unlabeled natural video sequences. This is done by
training a generative model to predict video frames. We also address the
problem of inherent uncertainty in prediction by introducing latent variables
that are non-deterministic functions of the input into the network
architecture.",101
Cross-Modal Self-Attention Network for Referring Image Segmentation,Computer Vision and Pattern Recognition,cs.CV,"We consider the problem of referring image segmentation. Given an input image
and a natural language expression, the goal is to segment the object referred
by the language expression in the image. Existing works in this area treat the
language expression and the input image separately in their representations.
They do not sufficiently capture long-range correlations between these two
modalities. In this paper, we propose a cross-modal self-attention (CMSA)
module that effectively captures the long-range dependencies between linguistic
and visual features. Our model can adaptively focus on informative words in the
referring expression and important regions in the input image. In addition, we
propose a gated multi-level fusion module to selectively integrate
self-attentive cross-modal features corresponding to different levels in the
image. This module controls the information flow of features at different
levels. We validate the proposed approach on four evaluation datasets. Our
proposed approach consistently outperforms existing state-of-the-art methods.",150
"USA-Net: Unified Semantic and Affordance Representations for Robot
  Memory",Robotics,cs.RO,"In order for robots to follow open-ended instructions like ""go open the brown
cabinet over the sink"", they require an understanding of both the scene
geometry and the semantics of their environment. Robotic systems often handle
these through separate pipelines, sometimes using very different representation
spaces, which can be suboptimal when the two objectives conflict. In this work,
we present USA-Net, a simple method for constructing a world representation
that encodes both the semantics and spatial affordances of a scene in a
differentiable map. This allows us to build a gradient-based planner which can
navigate to locations in the scene specified using open-ended vocabulary. We
use this planner to consistently generate trajectories which are both shorter
5-10% shorter and 10-30% closer to our goal query in CLIP embedding space than
paths from comparable grid-based planners which don't leverage gradient
information. To our knowledge, this is the first end-to-end differentiable
planner optimizes for both semantics and affordance in a single implicit map.
Code and visuals are available at our website: https://usa.bolte.cc/",170
"TANGO: Commonsense Generalization in Predicting Tool Interactions for
  Mobile Manipulators",Robotics,cs.RO,"Robots assisting us in factories or homes must learn to make use of objects
as tools to perform tasks, e.g., a tray for carrying objects. We consider the
problem of learning commonsense knowledge of when a tool may be useful and how
its use may be composed with other tools to accomplish a high-level task
instructed by a human. We introduce a novel neural model, termed TANGO, for
predicting task-specific tool interactions, trained using demonstrations from
human teachers instructing a virtual robot. TANGO encodes the world state,
comprising objects and symbolic relationships between them, using a graph
neural network. The model learns to attend over the scene using knowledge of
the goal and the action history, finally decoding the symbolic action to
execute. Crucially, we address generalization to unseen environments where some
known tools are missing, but alternative unseen tools are present. We show that
by augmenting the representation of the environment with pre-trained embeddings
derived from a knowledge-base, the model can generalize effectively to novel
environments. Experimental results show a 60.5-78.9% absolute improvement over
the baseline in predicting successful symbolic plans in unseen settings for a
simulated mobile manipulator.",190
Stimulate the Potential of Robots via Competition,Robotics,cs.RO,"It is common for us to feel pressure in a competition environment, which
arises from the desire to obtain success comparing with other individuals or
opponents. Although we might get anxious under the pressure, it could also be a
drive for us to stimulate our potentials to the best in order to keep up with
others. Inspired by this, we propose a competitive learning framework which is
able to help individual robot to acquire knowledge from the competition, fully
stimulating its dynamics potential in the race. Specifically, the competition
information among competitors is introduced as the additional auxiliary signal
to learn advantaged actions. We further build a Multiagent-Race environment,
and extensive experiments are conducted, demonstrating that robots trained in
competitive environments outperform ones that are trained with SoTA algorithms
in single robot environment.",133
"In-Simulation Testing of Deep Learning Vision Models in Autonomous
  Robotic Manipulators",Robotics,cs.RO,"Testing autonomous robotic manipulators is challenging due to the complex
software interactions between vision and control components. A crucial element
of modern robotic manipulators is the deep learning based object detection
model. The creation and assessment of this model requires real world data,
which can be hard to label and collect, especially when the hardware setup is
not available. The current techniques primarily focus on using synthetic data
to train deep neural networks (DDNs) and identifying failures through offline
or online simulation-based testing. However, the process of exploiting the
identified failures to uncover design flaws early on, and leveraging the
optimized DNN within the simulation to accelerate the engineering of the DNN
for real-world tasks remains unclear. To address these challenges, we propose
the MARTENS (Manipulator Robot Testing and Enhancement in Simulation)
framework, which integrates a photorealistic NVIDIA Isaac Sim simulator with
evolutionary search to identify critical scenarios aiming at improving the deep
learning vision model and uncovering system design flaws. Evaluation of two
industrial case studies demonstrated that MARTENS effectively reveals robotic
manipulator system failures, detecting 25 % to 50 % more failures with greater
diversity compared to random test generation. The model trained and repaired
using the MARTENS approach achieved mean average precision (mAP) scores of 0.91
and 0.82 on real-world images with no prior retraining. Further fine-tuning on
real-world images for a few epochs (less than 10) increased the mAP to 0.95 and
0.89 for the first and second use cases, respectively. In contrast, a model
trained solely on real-world data achieved mAPs of 0.8 and 0.75 for use case 1
and use case 2 after more than 25 epochs.",273
A Hierarchical Emotion Regulated Sensorimotor Model: Case Studies,Robotics,cs.RO,"Inspired by the hierarchical cognitive architecture and the perception-action
model (PAM), we propose that the internal status acts as a kind of
common-coding representation which affects, mediates and even regulates the
sensorimotor behaviours. These regulation can be depicted in the Bayesian
framework, that is why cognitive agents are able to generate behaviours with
subtle differences according to their emotion or recognize the emotion by
perception. A novel recurrent neural network called recurrent neural network
with parametric bias units (RNNPB) runs in three modes, constructing a
two-level emotion regulated learning model, was further applied to testify this
theory in two different cases.",101
"""Drunk Man"" Saves Our Lives: Route Planning by a Biased Random Walk Mode",Robotics,cs.RO,"Based on the hurricane striking Puerto Rico in 2017, we developed a
transportable disaster response system ""DroneGo"" featuring a drone fleet
capable of delivering the medical package and videoing roads. Covering with a
genetic algorithm and a biased random walk model mimicking a drunk man to
explore feasible routes on a field with altitude and road information. A
proposal mechanism guaranteeing stochasticity and an objective function biasing
randomness are combined. The results showed high performance though
time-consuming.",77
Four Side Distance: A New Fourier Shape Signature,Computer Vision and Pattern Recognition,cs.CV,"Shape is one of the main features in content based image retrieval (CBIR).
This paper proposes a new shape signature. In this technique, features of each
shape are extracted based on four sides of the rectangle that covers the shape.
The proposed technique is Fourier based and it is invariant to translation,
scaling and rotation. The retrieval performance between some commonly used
Fourier based signatures and the proposed four sides distance (FSD) signature
has been tested using MPEG-7 database. Experimental results are shown that the
FSD signature has better performance compared with those signatures.",94
Protecting Privacy of Users in Brain-Computer Interface Applications,Cryptography and Security,cs.CR,"Machine learning (ML) is revolutionizing research and industry. Many ML
applications rely on the use of large amounts of personal data for training and
inference. Among the most intimate exploited data sources is
electroencephalogram (EEG) data, a kind of data that is so rich with
information that application developers can easily gain knowledge beyond the
professed scope from unprotected EEG signals, including passwords, ATM PINs,
and other intimate data. The challenge we address is how to engage in
meaningful ML with EEG data while protecting the privacy of users.
  Hence, we propose cryptographic protocols based on Secure Multiparty
Computation (SMC) to perform linear regression over EEG signals from many users
in a fully privacy-preserving (PP) fashion, i.e.~such that each individual's
EEG signals are not revealed to anyone else. To illustrate the potential of our
secure framework, we show how it allows estimating the drowsiness of drivers
from their EEG signals as would be possible in the unencrypted case, and at a
very reasonable computational cost. Our solution is the first application of
commodity-based SMC to EEG data, as well as the largest documented experiment
of secret sharing based SMC in general, namely with 15 players involved in all
the computations.",200
"Virtual CNN Branching: Efficient Feature Ensemble for Person
  Re-Identification",Computer Vision and Pattern Recognition,cs.CV,"In this paper we introduce an ensemble method for convolutional neural
network (CNN), called ""virtual branching,"" which can be implemented with nearly
no additional parameters and computation on top of standard CNNs. We propose
our method in the context of person re-identification (re-ID). Our CNN model
consists of shared bottom layers, followed by ""virtual"" branches, where neurons
from a block of regular convolutional and fully-connected layers are
partitioned into multiple sets. Each virtual branch is trained with different
data to specialize in different aspects, e.g., a specific body region or pose
orientation. In this way, robust ensemble representations are obtained against
human body misalignment, deformations, or variations in viewing angles, at
nearly no any additional cost. The proposed method achieves competitive
performance on multiple person re-ID benchmark datasets, including Market-1501,
CUHK03, and DukeMTMC-reID.",133
"Combining Learned and Analytical Models for Predicting Action Effects
  from Sensory Data",Robotics,cs.RO,"One of the most basic skills a robot should possess is predicting the effect
of physical interactions with objects in the environment. This enables optimal
action selection to reach a certain goal state. Traditionally, dynamics are
approximated by physics-based analytical models. These models rely on specific
state representations that may be hard to obtain from raw sensory data,
especially if no knowledge of the object shape is assumed. More recently, we
have seen learning approaches that can predict the effect of complex physical
interactions directly from sensory input. It is however an open question how
far these models generalize beyond their training data. In this work, we
investigate the advantages and limitations of neural network based learning
approaches for predicting the effects of actions based on sensory input and
show how analytical and learned models can be combined to leverage the best of
both worlds. As physical interaction task, we use planar pushing, for which
there exists a well-known analytical model and a large real-world dataset. We
propose to use a convolutional neural network to convert raw depth images or
organized point clouds into a suitable representation for the analytical model
and compare this approach to using neural networks for both, perception and
prediction. A systematic evaluation of the proposed approach on a very large
real-world dataset shows two main advantages of the hybrid architecture.
Compared to a pure neural network, it significantly (i) reduces required
training data and (ii) improves generalization to novel physical interaction.",246
"A Predefined-Time Convergent and Noise-Tolerant Zeroing Neural Network
  Model for Time Variant Quadratic Programming With Application to Robot Motion
  Planning",Robotics,cs.RO,"This paper develops a predefined-time convergent and noise-tolerant
fractional-order zeroing neural network (PTC-NT-FOZNN) model, innovatively
engineered to tackle time-variant quadratic programming (TVQP) challenges. The
PTC-NT-FOZNN, stemming from a novel iteration within the variable-gain ZNN
spectrum, known as FOZNNs, features diminishing gains over time and marries
noise resistance with predefined-time convergence, making it ideal for
energy-efficient robotic motion planning tasks. The PTC-NT-FOZNN enhances
traditional ZNN models by incorporating a newly developed activation function
that promotes optimal convergence irrespective of the model's order. When
evaluated against six established ZNNs, the PTC-NT-FOZNN, with parameters $0 <
\alpha \leq 1$, demonstrates enhanced positional precision and resilience to
additive noises, making it exceptionally suitable for TVQP tasks. Thorough
practical assessments, including simulations and experiments using a Flexiv
Rizon robotic arm, confirm the PTC-NT-FOZNN's capabilities in achieving precise
tracking and high computational efficiency, thereby proving its effectiveness
for robust kinematic control applications.",146
"Beyond Visual Field of View: Perceiving 3D Environment with Echoes and
  Vision",Computer Vision and Pattern Recognition,cs.CV,"This paper focuses on perceiving and navigating 3D environments using echoes
and RGB image. In particular, we perform depth estimation by fusing RGB image
with echoes, received from multiple orientations. Unlike previous works, we go
beyond the field of view of the RGB and estimate dense depth maps for
substantially larger parts of the environment. We show that the echoes provide
holistic and in-expensive information about the 3D structures complementing the
RGB image. Moreover, we study how echoes and the wide field-of-view depth maps
can be utilised in robot navigation. We compare the proposed methods against
recent baselines using two sets of challenging realistic 3D environments:
Replica and Matterport3D. The implementation and pre-trained models will be
made publicly available.",119
Texture Synthesis Using Convolutional Neural Networks,Computer Vision and Pattern Recognition,cs.CV,"Here we introduce a new model of natural textures based on the feature spaces
of convolutional neural networks optimised for object recognition. Samples from
the model are of high perceptual quality demonstrating the generative power of
neural networks trained in a purely discriminative fashion. Within the model,
textures are represented by the correlations between feature maps in several
layers of the network. We show that across layers the texture representations
increasingly capture the statistical properties of natural images while making
object information more and more explicit. The model provides a new tool to
generate stimuli for neuroscience and might offer insights into the deep
representations learned by convolutional neural networks.",110
Learning Singularity Avoidance,Robotics,cs.RO,"With the increase in complexity of robotic systems and the rise in non-expert
users, it can be assumed that task constraints are not explicitly known. In
tasks where avoiding singularity is critical to its success, this paper
provides an approach, especially for non-expert users, for the system to learn
the constraints contained in a set of demonstrations, such that they can be
used to optimise an autonomous controller to avoid singularity, without having
to explicitly know the task constraints. The proposed approach avoids
singularity, and thereby unpredictable behaviour when carrying out a task, by
maximising the learnt manipulability throughout the motion of the constrained
system, and is not limited to kinematic systems. Its benefits are demonstrated
through comparisons with other control policies which show that the constrained
manipulability of a system learnt through demonstration can be used to avoid
singularities in cases where these other policies would fail. In the absence of
the systems manipulability subject to a tasks constraints, the proposed
approach can be used instead to infer these with results showing errors less
than 10^-5 in 3DOF simulated systems as well as 10^-2 using a 7DOF real world
robotic system.",192
"REGARD: Rules of EngaGement for Automated cybeR Defense to aid in
  Intrusion Response",Cryptography and Security,cs.CR,"Automated Intelligent Cyberdefense Agents (AICAs) that are part Intrusion
Detection Systems (IDS) and part Intrusion Response Systems (IRS) are being
designed to protect against sophisticated and automated cyber-attacks. An AICA
based on the ideas of Self-Adaptive Autonomic Computing Systems (SA-ACS) can be
considered as a managing system that protects a managed system like a personal
computer, web application, critical infrastructure, etc. An AICA, specifically
the IRS components, can compute a wide range of potential responses to meet its
security goals and objectives, such as taking actions to prevent the attack
from completing, restoring the system to comply with the organizational
security policy, containing or confining an attack, attack eradication,
deploying forensics measures to enable future attack analysis, counterattack,
and so on. To restrict its activities in order to minimize
collateral/organizational damage, such an automated system must have set Rules
of Engagement (RoE). Automated systems must determine which operations can be
completely automated (and when), which actions require human operator
confirmation, and which actions must never be undertaken. In this paper, to
enable this control functionality over an IRS, we create Rules of EngaGement
for Automated cybeR Defense (REGARD) system which holds a set of Rules of
Engagement (RoE) to protect the managed system according to the instructions
provided by the human operator. These rules help limit the action of the IRS on
the managed system in compliance with the recommendations of the domain expert.
We provide details of execution, management, operation, and conflict resolution
for Rules of Engagement (RoE) to constrain the actions of an automated IRS. We
also describe REGARD system implementation, security case studies for cyber
defense, and RoE demonstrations.",272
A Tutorial on Adversarial Learning Attacks and Countermeasures,Cryptography and Security,cs.CR,"Machine learning algorithms are used to construct a mathematical model for a
system based on training data. Such a model is capable of making highly
accurate predictions without being explicitly programmed to do so. These
techniques have a great many applications in all areas of the modern digital
economy and artificial intelligence. More importantly, these methods are
essential for a rapidly increasing number of safety-critical applications such
as autonomous vehicles and intelligent defense systems. However, emerging
adversarial learning attacks pose a serious security threat that greatly
undermines further such systems. The latter are classified into four types,
evasion (manipulating data to avoid detection), poisoning (injection malicious
training samples to disrupt retraining), model stealing (extraction), and
inference (leveraging over-generalization on training data). Understanding this
type of attacks is a crucial first step for the development of effective
countermeasures. The paper provides a detailed tutorial on the principles of
adversarial machining learning, explains the different attack scenarios, and
gives an in-depth insight into the state-of-art defense mechanisms against this
rising threat .",170
"Hierarchical Policy for Non-prehensile Multi-object Rearrangement with
  Deep Reinforcement Learning and Monte Carlo Tree Search",Robotics,cs.RO,"Non-prehensile multi-object rearrangement is a robotic task of planning
feasible paths and transferring multiple objects to their predefined target
poses without grasping. It needs to consider how each object reaches the target
and the order of object movement, which significantly deepens the complexity of
the problem. To address these challenges, we propose a hierarchical policy to
divide and conquer for non-prehensile multi-object rearrangement. In the
high-level policy, guided by a designed policy network, the Monte Carlo Tree
Search efficiently searches for the optimal rearrangement sequence among
multiple objects, which benefits from imitation and reinforcement. In the
low-level policy, the robot plans the paths according to the order of path
primitives and manipulates the objects to approach the goal poses one by one.
We verify through experiments that the proposed method can achieve a higher
success rate, fewer steps, and shorter path length compared with the
state-of-the-art.",146
